id,title,overview,release_date,runtime,genres,production_companies,budget,revenue,popularity,vote_average,vote_count,status,poster_path,backdrop_path
1331375,Dominique,"Dominique, a well-trained assassin, flees from her troubled past in an attempt to begin a new life in South America. However, she soon finds herself in a town plagued with violence and corruption. Facing brutal attacks from the police and mafia, Dominique must decide whether to protect herself or an innocent family that has taken her in.",2024-10-11,94,"Action, Thriller","Green Dog Films, Reigning Entertainment, Orlan Films, Ágora Films",0,0,380.469,7.6,71,Released,https://image.tmdb.org/t/p/w500/jvug7Esd89yNLJwGvUfeQ9j69cE.jpg,https://image.tmdb.org/t/p/w500/vSBnSdEllJPMBniDh1eSqNHS5Mk.jpg
1064028,Subservience,"With his wife out sick, a struggling father brings home a lifelike AI, only to have his self-aware new help want everything her new family has to offer... Like the affection of her owner and she'll kill to get it.",2024-08-15,105,"Science Fiction, Thriller, Horror","Millennium Media, Campbell Grobman Films, XYZ Films",4400000,262793,379.934,6.7,362,Released,https://image.tmdb.org/t/p/w500/gBenxR01Uy0Ev9RTIw6dVBPoyQU.jpg,https://image.tmdb.org/t/p/w500/co7oxvpWxgd6FZU24DnljDDHYQA.jpg
1084736,The Count of Monte-Cristo,"Edmond Dantes becomes the target of a sinister plot and is arrested on his wedding day for a crime he did not commit. After 14 years in the island prison of Château d’If, he manages a daring escape. Now rich beyond his dreams, he assumes the identity of the Count of Monte-Cristo and exacts his revenge on the three men who betrayed him.",2024-06-28,178,"Action, Adventure, Drama, History, Romance, Thriller","Chapter 2, Fargo Films, Pathé, M6 Films",46700000,74885636,378.959,8.2,950,Released,https://image.tmdb.org/t/p/w500/7O0WDGsa4lBzqv3uaB1tp8UvFK3.jpg,https://image.tmdb.org/t/p/w500/llIXQAndg5kB6SWlp6ouUdO7Zxd.jpg
573435,Bad Boys: Ride or Die,"After their late former Captain is framed, Lowrey and Burnett try to clear his name, only to end up on the run themselves.",2024-06-05,115,"Action, Comedy","Westbrook, Columbia Pictures, Don Simpson/Jerry Bruckheimer Films, 2.0 Entertainment",100000000,404516167,370.304,7.5,2420,Released,https://image.tmdb.org/t/p/w500/oGythE98MYleE6mZlGs5oBGkux1.jpg,https://image.tmdb.org/t/p/w500/tncbMvfV0V07UZozXdBEq4Wu9HH.jpg
482600,Japanese Mom,"""Innocent face, D-cup breasts and perfect intercourse skills! Son, this is not your girlfriend anymore but your mother!""  Ki-ho brings Yuki from Japan to marry her. However, he starts cheating on her with his ex-girlfriend in Korea.  Min-cheol comforted Yuki and thought of her as his daughter-in-law, but one day he realizes he is looking at her as a woman.  In the end, Yuki and Min-cheol have intercourse without Ki-ho knowing...",2017-02-09,91,"Romance, Drama",,0,0,364.704,6.2,28,Released,https://image.tmdb.org/t/p/w500/hq1EaYIqUNrPM3QFYAbnH2UHoX8.jpg,
365177,Borderlands,"Returning to her home planet, an infamous bounty hunter forms an unexpected alliance with a team of unlikely heroes. Together, they battle monsters and dangerous bandits to protect a young girl who holds the key to unimaginable power.",2024-08-07,101,"Action, Science Fiction, Comedy","Lionsgate, Arad Productions, Picturestart, Gearbox Studios, 2K, Hercules Film Fund",115000000,32978510,362.143,5.8,849,Released,https://image.tmdb.org/t/p/w500/3NPUQ6Ywayb5ES2IP1HWrDRt1Gc.jpg,https://image.tmdb.org/t/p/w500/mKOBdgaEFguADkJhfFslY7TYxIh.jpg
772,Home Alone 2: Lost in New York,"Instead of flying to Florida with his folks, Kevin ends up alone in New York, where he gets a hotel room with his dad's credit card—despite problems from a clerk and meddling bellboy. But when Kevin runs into his old nemeses, the Wet Bandits, he's determined to foil their plans to rob a toy store on Christmas Eve.",1992-11-15,120,"Comedy, Family, Adventure","20th Century Fox, Hughes Entertainment",18000000,358994850,360.651,6.7,9559,Released,https://image.tmdb.org/t/p/w500/uuitWHpJwxD1wruFl2nZHIb4UGN.jpg,https://image.tmdb.org/t/p/w500/kjby7cr8JnIPkfqMGKutOFrM2at.jpg
639720,IF,"After discovering she can see everyone's imaginary friends, a girl embarks on a magical adventure to reconnect forgotten imaginary friends with their kids.",2024-05-08,104,"Comedy, Fantasy, Family","Paramount Pictures, Sunday Night Productions, Maximum Effort",110000000,190309707,354.319,7.3,1058,Released,https://image.tmdb.org/t/p/w500/xbKFv4KF3sVYuWKllLlwWDmuZP7.jpg,https://image.tmdb.org/t/p/w500/nxxCPRGTzxUH8SFMrIsvMmdxHti.jpg
823219,Flow,"A solitary cat, displaced by a great flood, finds refuge on a boat with various species and must navigate the challenges of adapting to a transformed world together.",2024-08-29,85,"Animation, Fantasy, Adventure","Dream Well Studio, Sacrebleu Productions, Take Five, ARTE France Cinéma, RTBF",3500000,4099084,351.307,8.5,365,Released,https://image.tmdb.org/t/p/w500/enRimDhtFfb7hNTQlOjrgK8O8UO.jpg,https://image.tmdb.org/t/p/w500/b3mdmjYTEL70j7nuXATUAD9qgu4.jpg
1116490,Cash Out,"Criminal mastermind Mason is about to execute the score of a lifetime when his lover and key member of his crew, Decker, takes the team down and reveals she’s an undercover Interpol agent. Heartbroken, Mason escapes and retires from the life of crime until his younger brother Shawn is out of his league taking on a big bank heist all on his own. Mason has no choice left but to come to the rescue, while Interpol brings Decker in hoping to unnerve him. Before the SWAT teams storm the bank, Mason must use every tool in his arsenal to not only escape with the prize, but also the love of his life.",2024-04-26,90,"Action, Thriller","Convergence Entertainment, BondIt Media Capital, Transparency Media, Streamline Global",0,0,350.997,6.347,137,Released,https://image.tmdb.org/t/p/w500/xBJnIvRdL0nDHgvivr6EgBQizes.jpg,https://image.tmdb.org/t/p/w500/6VoxDupaW2VXfLtJyeOoGCgXSjD.jpg
839033,The Lord of the Rings: The War of the Rohirrim,"183 years before the events chronicled in the original trilogy, a sudden attack by Wulf, a clever and ruthless Dunlending lord seeking vengeance for the death of his father, forces Helm Hammerhand and his people to make a daring last stand in the ancient stronghold of the Hornburg. Finding herself in an increasingly desperate situation, Héra, the daughter of Helm, must summon the will to lead the resistance against a deadly enemy intent on their total destruction.",2024-12-05,134,"Animation, Fantasy","New Line Cinema, Warner Bros. Animation, Sola Entertainment, Middle-earth Enterprises, WingNut Films",0,0,345.151,7.1,17,Released,https://image.tmdb.org/t/p/w500/qXKFlGX9n66zd4q0oWztPuvRD9D.jpg,https://image.tmdb.org/t/p/w500/4ZXzO32rKk5bSoDZA6KpTzVJA.jpg
